paper_id,priority,title,year,status,primary_url,pdf_url,code_url,local_filename,project_relation,verification
P014,P0,Bridging the Semantic Void: A Dual-branch RAG Framework to Enhance GUI Component Description for BVI Users,2026,W4A,https://zhoushengisnoob.github.io/,https://zhoushengisnoob.github.io/papers/W4A2026-2.pdf,,14_Dual-branch-RAG-GUI.pdf,Direct lab alignment and GUI retrieval,verified_primary
P015,P0,Towards Scalable Web Accessibility Audit with MLLMs as Copilots,2026,AAAI AISI,https://zhoushengisnoob.github.io/,https://zhoushengisnoob.github.io/papers/AAAI2026-GRASP.pdf,https://github.com/eaglelab-zju/AAA,15_AAA-Web-Accessibility-Copilot.pdf,Direct lab alignment and evidence audit,verified_primary
P016,P1,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents,2024,ACL Long,https://aclanthology.org/2024.acl-long.505/,https://aclanthology.org/2024.acl-long.505.pdf,,16_SeeClick.pdf,Grounding baseline and orthogonal perception,verified_primary
P017,P1,Mobile-Agent-v3.5: Multi-platform Fundamental GUI Agents,2026,arXiv-only,https://arxiv.org/abs/2602.16855,https://arxiv.org/pdf/2602.16855,https://github.com/X-PLUG/MobileAgent,17_Mobile-Agent-v3.5.pdf,Latest Mobile-Agent system audit,preprint_only
P018,P1,MobileUse: A Hierarchical Reflection-Driven GUI Agent for Autonomous Mobile Operation,2025,NeurIPS,https://papers.neurips.cc/paper_files/paper/2025/hash/3994410d63ec68ce9a66011a34c9a2c4-Abstract-Conference.html,https://arxiv.org/pdf/2507.16853,https://github.com/MadeAgents/mobile-use,18_MobileUse.pdf,Event-triggered reflection and recovery; PDF uses author arXiv copy because NeurIPS TLS failed locally,verified_cross_source
P019,P1,Look Before You Leap: GUI-Critic-R1,2025,NeurIPS,https://papers.neurips.cc/paper_files/paper/2025/hash/05f7fb7bc9a3cc4608f1c6f2cdc79eae-Abstract-Conference.html,https://arxiv.org/pdf/2506.04614,https://github.com/X-PLUG/MobileAgent/tree/main/GUI-Critic-R1,19_GUI-Critic-R1.pdf,Critic comparator; PDF uses author arXiv copy because NeurIPS TLS failed locally,verified_cross_source
P020,P1,Agent S: An Open Agentic Framework that Uses Computers Like a Human,2025,ICLR,https://openreview.net/forum?id=Ui5sNUGJ1q,https://arxiv.org/pdf/2410.08164,https://github.com/simular-ai/Agent-S,20_Agent-S.pdf,Experience-augmented hierarchical planning,verified_cross_source
P021,P1,Agent S2: A Compositional Generalist-Specialist Framework for Computer Use Agents,2025,COLM,https://arxiv.org/abs/2504.00906,https://arxiv.org/pdf/2504.00906,https://github.com/simular-ai/Agent-S,21_Agent-S2.pdf,Generalist specialist planning and grounding,verified_cross_source
P022,P1,Agent Workflow Memory,2024,preprint-status-recheck,https://arxiv.org/abs/2409.07429,https://arxiv.org/pdf/2409.07429,https://github.com/zorazrw/agent-workflow-memory,22_Agent-Workflow-Memory.pdf,Procedural workflow memory,manual_needed
P023,P1,Auto-scaling Continuous Memory for GUI Agent,2025,arXiv-only,https://arxiv.org/abs/2510.09038,https://arxiv.org/pdf/2510.09038,https://wenyiwu0111.github.io/CoMEM-Agent-project-page/,23_CoMEM.pdf,Continuous visual memory excluded from core,preprint_only
P024,P2,LiMAC: A Lightweight Mobile Agent with Iterative Planning and Action Control,2025,ICLR Spotlight,https://openreview.net/forum?id=BL4WBIfyrz,,,24_LiMAC.pdf,Past-observation lightweight mobile control,verified_primary
P025,P2,DistRL: An Asynchronous Distributed Reinforcement Learning Framework for On-Device Control Agents,2025,ICLR Poster,https://openreview.net/forum?id=LPG8pPSfQD,,,25_DistRL.pdf,Training-heavy contrast,verified_primary
P026,P2,R-VLM: Learning to Act with Visual Language Models in GUI Environments,2025,Findings ACL,https://aclanthology.org/2025.findings-acl.501/,https://aclanthology.org/2025.findings-acl.501.pdf,,26_R-VLM.pdf,Grounding/action neighbor,verified_primary
P027,P2,HiconAgent,2025,arXiv-only,https://arxiv.org/abs/2512.01763,https://arxiv.org/pdf/2512.01763,,27_HiconAgent.pdf,Learned history context sampling,preprint_only
P028,P2,Less is More: A Simpler Agent for Long-Horizon GUI Automation,2025,arXiv-only,https://arxiv.org/abs/2507.03730,https://arxiv.org/pdf/2507.03730,,28_SimpAgent.pdf,History compression and element pruning,preprint_only
P029,P2,ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory,2025,arXiv-only,https://arxiv.org/abs/2509.25140,https://arxiv.org/pdf/2509.25140,,29_ReasoningBank.pdf,Success/failure reasoning memory,preprint_only
P030,P2,UI-Evol: Automatic Knowledge Evolution for GUI Agents,2025,arXiv-only,https://arxiv.org/abs/2505.21964,https://arxiv.org/pdf/2505.21964,,30_UI-Evol.pdf,External knowledge evolution,preprint_only
P031,P2,GUI-KV: Efficient GUI Agent with KV Cache Compression,2025,arXiv-only,https://arxiv.org/abs/2510.00536,https://arxiv.org/pdf/2510.00536,,31_GUI-KV.pdf,History and KV efficiency neighbor,preprint_only
P032,P2,Mobile-Agent-E: Self-Evolving Mobile Assistant,2025,arXiv-only,https://arxiv.org/abs/2501.11733,https://arxiv.org/pdf/2501.11733,https://github.com/X-PLUG/MobileAgent,32_Mobile-Agent-E.pdf,Self-evolving assistant,preprint_only
P033,P2,Mobile-Agent-v3: Foundamental Agents for GUI Automation,2025,arXiv-only,https://arxiv.org/abs/2508.15144,https://arxiv.org/pdf/2508.15144,https://github.com/X-PLUG/MobileAgent,33_Mobile-Agent-v3.pdf,Planning progress reflection memory,preprint_only
P034,P2,UI-S1: Advancing GUI Automation via Semi-online Reinforcement Learning,2025,status-recheck,https://arxiv.org/abs/2509.11543,https://arxiv.org/pdf/2509.11543,,34_UI-S1.pdf,RL comparison and venue status audit,manual_needed
P035,P2,iSHIFT: Lightweight Slow-Fast GUI Agent with Adaptive Perception,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Mehrotra_iSHIFT_Lightweight_Slow-Fast_GUI_Agent_with_Adaptive_Perception_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Mehrotra_iSHIFT_Lightweight_Slow-Fast_GUI_Agent_with_Adaptive_Perception_CVPR_2026_paper.pdf,,35_iSHIFT.pdf,Adaptive perception efficiency,verified_primary
P036,P2,ToolCUA,2026,arXiv-only,https://arxiv.org/abs/2605.12481,https://arxiv.org/pdf/2605.12481,,36_ToolCUA.pdf,Tool path and action-space neighbor,preprint_only
P037,P2,AppAgent: Multimodal Agents as Smartphone Users,2023,arXiv-only-foundational,https://arxiv.org/abs/2312.13771,https://arxiv.org/pdf/2312.13771,,37_AppAgent.pdf,Foundational exploration and operation knowledge,preprint_only
